"Guillaume_1000_lines" "Jean_1000_lines"
"sembloit" 0.127269641948074 0.0093014603292717
"tens" 0.135754284744612 0
"toutes" 0.0424232139826913 0.102316063621989
"vers" 0.0339385711861531 0.11161752395126
"amie" 0.0424232139826913 0.093014603292717
"après" 0.0593924995757679 0.0744116826341736
"corps" 0.0678771423723061 0.0651102223049019
"cors" 0.0593924995757679 0.0744116826341736
"cuer" 0.0593924995757679 0.0744116826341736
"ma" 0.101815713558459 0.0279043809878151
"nous" 0.0933310707619209 0.0372058413170868
"nulle" 0.0678771423723061 0.0651102223049019
"quel" 0.0509078567792296 0.0837131429634453
"riche" 0.0933310707619209 0.0372058413170868
"temps" 0.110300356354997 0.0186029206585434
"vis" 0.101815713558459 0.0279043809878151
"bel" 0.118784999151536 0
"joie" 0.110300356354997 0.0093014603292717
"leu" 0.110300356354997 0.0093014603292717
"maître" 0.0339385711861531 0.093014603292717
"oncques" 0.0763617851688444 0.0465073016463585
"sachiés" 0.110300356354997 0.0093014603292717
"telle" 0.0509078567792296 0.0744116826341736
"voit" 0.0678771423723061 0.0558087619756302
"ainsinc" 0.0254539283896148 0.093014603292717
"amis" 0.0254539283896148 0.093014603292717
"amor" 0.00848464279653827 0.11161752395126
"avant" 0.0678771423723061 0.0465073016463585
"avis" 0.0848464279653827 0.0279043809878151
"bele" 0.0933310707619209 0.0186029206585434
"ci" 0.0763617851688444 0.0372058413170868
"deux" 0.0509078567792296 0.0651102223049019
"garde" 0.0509078567792296 0.0651102223049019
"homme" 0.0763617851688444 0.0372058413170868
"iere" 0.110300356354997 0
"mes" 0.0763617851688444 0.0372058413170868
"onc" 0.0424232139826913 0.0744116826341736
"onques" 0.0509078567792296 0.0651102223049019
"rose" 0.0933310707619209 0.0186029206585434
"sera" 0.0254539283896148 0.093014603292717
"vit" 0.0763617851688444 0.0372058413170868
"aussi" 0.0848464279653827 0.0186029206585434
"bonne" 0.0509078567792296 0.0558087619756302
"certes" 0.0509078567792296 0.0558087619756302
"chapel" 0.0848464279653827 0.0186029206585434
"col" 0.0509078567792296 0.0558087619756302
"dès" 0.0424232139826913 0.0651102223049019
"ensemble" 0.0339385711861531 0.0744116826341736
"entendre" 0.0339385711861531 0.0744116826341736
"garder" 0.00848464279653827 0.102316063621989
"grans" 0.0593924995757679 0.0465073016463585
"là" 0.0593924995757679 0.0465073016463585
"nuit" 0.0678771423723061 0.0372058413170868
"oisiaus" 0.101815713558459 0
"sait" 0.0339385711861531 0.0744116826341736
"uns" 0.0933310707619209 0.0093014603292717
"vivre" 0 0.11161752395126
"ait" 0 0.102316063621989
"alors" 0.0424232139826913 0.0558087619756302
"argent" 0.0169692855930765 0.0837131429634453
"aucun" 0.0678771423723061 0.0279043809878151
"autres" 0.0848464279653827 0.0093014603292717
"chacun" 0.0254539283896148 0.0744116826341736
"douce" 0.0763617851688444 0.0186029206585434
"doux" 0.0339385711861531 0.0651102223049019
"droit" 0.0424232139826913 0.0558087619756302
"face" 0.0339385711861531 0.0651102223049019
"font" 0.0339385711861531 0.0651102223049019
"gent" 0.0763617851688444 0.0186029206585434
"grande" 0.0763617851688444 0.0186029206585434
"ire" 0.0339385711861531 0.0651102223049019
"jour" 0.0424232139826913 0.0558087619756302
"main" 0.0933310707619209 0
"moins" 0.0424232139826913 0.0558087619756302
"mur" 0.0933310707619209 0
"oiseaux" 0.0933310707619209 0
"poi" 0.0763617851688444 0.0186029206585434
"quoi" 0.0339385711861531 0.0651102223049019
"semble" 0.0339385711861531 0.0651102223049019
"sens" 0.0424232139826913 0.0558087619756302
"set" 0.0169692855930765 0.0837131429634453
"sor" 0.0254539283896148 0.0744116826341736
"tantost" 0.0169692855930765 0.0837131429634453
"verger" 0.0933310707619209 0
"vi" 0.0933310707619209 0
"beaux" 0.0593924995757679 0.0279043809878151
"biens" 0.0424232139826913 0.0465073016463585
"bouche" 0.0678771423723061 0.0186029206585434
"ceste" 0.0339385711861531 0.0558087619756302
"contre" 0.0254539283896148 0.0651102223049019
"convoitise" 0.0424232139826913 0.0465073016463585
"cote" 0.0678771423723061 0.0186029206585434
"duel" 0.0509078567792296 0.0372058413170868
"entr" 0.0169692855930765 0.0744116826341736
"eus" 0.00848464279653827 0.0837131429634453
"éust" 0.0678771423723061 0.0186029206585434
"eux" 0.0169692855930765 0.0744116826341736
"fort" 0.00848464279653827 0.0837131429634453
"jors" 0.0339385711861531 0.0558087619756302
"nule" 0.0678771423723061 0.0186029206585434
"porte" 0.0848464279653827 0
"quelque" 0.0424232139826913 0.0465073016463585
"seul" 0.0424232139826913 0.0465073016463585
"songe" 0.0763617851688444 0.0093014603292717
"songes" 0.0593924995757679 0.0279043809878151
"tendre" 0.0509078567792296 0.0372058413170868
"va" 0.0509078567792296 0.0372058413170868
"vergier" 0.0848464279653827 0
"vient" 0.0254539283896148 0.0651102223049019
"vint" 0.0169692855930765 0.0744116826341736
"visage" 0.0763617851688444 0.0093014603292717
"voire" 0 0.093014603292717
"vostre" 0 0.093014603292717
"ans" 0.0763617851688444 0
"blanche" 0.0763617851688444 0
"cinq" 0.0763617851688444 0
"enfin" 0.0678771423723061 0.0093014603292717
"fer" 0.0509078567792296 0.0279043809878151
"fin" 0.0339385711861531 0.0465073016463585
"fine" 0.0593924995757679 0.0186029206585434
"force" 0.0593924995757679 0.0186029206585434
"fors" 0.0509078567792296 0.0279043809878151
"gart" 0 0.0837131429634453
"gente" 0.0763617851688444 0
"ici" 0.0678771423723061 0.0093014603292717
"jamès" 0.0169692855930765 0.0651102223049019
"jusqu" 0.0339385711861531 0.0465073016463585
"mer" 0.0424232139826913 0.0372058413170868
"mieux" 0.0339385711861531 0.0465073016463585
"noble" 0.0509078567792296 0.0279043809878151
"premier" 0.0339385711861531 0.0465073016463585
"prise" 0.0254539283896148 0.0558087619756302
"puisse" 0 0.0837131429634453
"tire" 0.0254539283896148 0.0558087619756302
"venir" 0.0254539283896148 0.0558087619756302
"aler" 0.0254539283896148 0.0465073016463585
"amours" 0.0509078567792296 0.0186029206585434
"devant" 0.00848464279653827 0.0651102223049019
"devise" 0.0678771423723061 0
"esté" 0.0424232139826913 0.0279043809878151
"fût" 0.0678771423723061 0
"haut" 0.0509078567792296 0.0186029206585434
"honte" 0.0254539283896148 0.0465073016463585
"mai" 0.0678771423723061 0
"néis" 0.0169692855930765 0.0558087619756302
"oyseuse" 0.0678771423723061 0
"parmi" 0.0509078567792296 0.0186029206585434
"pense" 0.0339385711861531 0.0372058413170868
"place" 0.00848464279653827 0.0651102223049019
"pût" 0.0169692855930765 0.0558087619756302
"raison" 0.0169692855930765 0.0558087619756302
"semblait" 0.0593924995757679 0.0093014603292717
"semblant" 0.0339385711861531 0.0372058413170868
"soudain" 0.0254539283896148 0.0465073016463585
"sous" 0.0509078567792296 0.0186029206585434
"tenir" 0.00848464279653827 0.0651102223049019
"tint" 0.0509078567792296 0.0186029206585434
"tot" 0.0678771423723061 0
"venait" 0.0509078567792296 0.0186029206585434
"vendre" 0.0169692855930765 0.0558087619756302
"votre" 0.00848464279653827 0.0651102223049019
"ymage" 0.0678771423723061 0
"âme" 0.0254539283896148 0.0372058413170868
"anciens" 0 0.0651102223049019
"apelée" 0.0593924995757679 0
"art" 0.0509078567792296 0.0093014603292717
"assemblée" 0.0424232139826913 0.0186029206585434
"autrement" 0.0169692855930765 0.0465073016463585
"beauté" 0.0509078567792296 0.0093014603292717
"biaus" 0.0509078567792296 0.0093014603292717
"bois" 0.0509078567792296 0.0093014603292717
"celui" 0.0254539283896148 0.0372058413170868
"cent" 0.0254539283896148 0.0372058413170868
"cest" 0.0254539283896148 0.0372058413170868
"chants" 0.0509078567792296 0.0093014603292717
"cheveux" 0.0339385711861531 0.0279043809878151
"combien" 0 0.0651102223049019
"contraire" 0.0509078567792296 0.0093014603292717
"cortoisie" 0.0509078567792296 0.0093014603292717
"cuit" 0.0509078567792296 0.0093014603292717
"dames" 0.0339385711861531 0.0279043809878151
"défendre" 0.00848464279653827 0.0558087619756302
"diex" 0.0593924995757679 0
"dous" 0.0254539283896148 0.0372058413170868
"durement" 0.0593924995757679 0
"entre" 0.00848464279653827 0.0558087619756302
"espoir" 0.00848464279653827 0.0558087619756302
"estoient" 0.0509078567792296 0.0093014603292717
"étaient" 0.0593924995757679 0
"fist" 0.0509078567792296 0.0093014603292717
"floiches" 0.0593924995757679 0
"gré" 0.0254539283896148 0.0372058413170868
"haine" 0.0424232139826913 0.0186029206585434
"hommes" 0.00848464279653827 0.0558087619756302
"jalousie" 0.00848464279653827 0.0558087619756302
"jor" 0.0339385711861531 0.0279043809878151
"livres" 0.0169692855930765 0.0465073016463585
"mener" 0.0339385711861531 0.0279043809878151
"mille" 0.0339385711861531 0.0279043809878151
"nature" 0.0424232139826913 0.0186029206585434
"nel" 0.0254539283896148 0.0372058413170868
"part" 0.0424232139826913 0.0186029206585434
"péust" 0.0509078567792296 0.0093014603292717
"pierres" 0.00848464279653827 0.0558087619756302
"plains" 0.0509078567792296 0.0093014603292717
"plein" 0.0424232139826913 0.0186029206585434
"querre" 0.00848464279653827 0.0558087619756302
"roses" 0.0593924995757679 0
"sai" 0.0169692855930765 0.0465073016463585
"saine" 0.0424232139826913 0.0186029206585434
"saint" 0 0.0651102223049019
"saurait" 0.0339385711861531 0.0279043809878151
"simple" 0.0339385711861531 0.0279043809878151
"tient" 0 0.0651102223049019
"traits" 0.0509078567792296 0.0093014603292717
"tuit" 0.00848464279653827 0.0558087619756302
"voie" 0.0339385711861531 0.0279043809878151
"yeux" 0.0424232139826913 0.0186029206585434
"aime" 0.0339385711861531 0.0186029206585434
"ainçois" 0.0339385711861531 0.0186029206585434
"ars" 0.0424232139826913 0.0093014603292717
"assez" 0.0509078567792296 0
"aura" 0.00848464279653827 0.0465073016463585
"autrui" 0.0509078567792296 0
"bat" 0 0.0558087619756302
"beles" 0.0254539283896148 0.0279043809878151
"belles" 0.0169692855930765 0.0372058413170868
"bras" 0 0.0558087619756302
"céans" 0.0254539283896148 0.0279043809878151
"cesse" 0.0339385711861531 0.0186029206585434
"cet" 0.0169692855930765 0.0372058413170868
"chant" 0.0509078567792296 0
"chemin" 0 0.0558087619756302
"chief" 0.0424232139826913 0.0093014603292717
"compagnie" 0.0424232139826913 0.0093014603292717
"conscience" 0 0.0558087619756302
"conte" 0.0169692855930765 0.0372058413170868
"corrous" 0.0169692855930765 0.0372058413170868
"courroux" 0.0169692855930765 0.0372058413170868
"courtoisie" 0.0509078567792296 0
"cuers" 0.0169692855930765 0.0372058413170868
"dehors" 0.0424232139826913 0.0093014603292717
"deuil" 0.0254539283896148 0.0279043809878151
"deus" 0.0254539283896148 0.0279043809878151
"dirai" 0.0339385711861531 0.0186029206585434
"dis" 0.0424232139826913 0.0093014603292717
"doute" 0.0424232139826913 0.0093014603292717
"dure" 0.0424232139826913 0.0093014603292717
"encore" 0.0424232139826913 0.0093014603292717
"endroit" 0.0339385711861531 0.0186029206585434
"ert" 0.0424232139826913 0.0093014603292717
"firent" 0 0.0558087619756302
"fit" 0.0424232139826913 0.0093014603292717
"fol" 0.0254539283896148 0.0279043809878151
"fus" 0.0339385711861531 0.0186029206585434
"gais" 0.0509078567792296 0
"guichet" 0.0509078567792296 0
"iave" 0.0509078567792296 0
"image" 0.0509078567792296 0
"karoler" 0.0509078567792296 0
"las" 0.0169692855930765 0.0372058413170868
"lede" 0.0254539283896148 0.0279043809878151
"leus" 0.0424232139826913 0.0093014603292717
"lieu" 0.0424232139826913 0.0093014603292717
"lorsque" 0.0169692855930765 0.0372058413170868
"mainte" 0.0254539283896148 0.0279043809878151
"maîtresse" 0 0.0558087619756302
"mestre" 0.00848464279653827 0.0465073016463585
"mort" 0.0424232139826913 0.0093014603292717
"nés" 0.0424232139826913 0.0093014603292717
"oi" 0.0509078567792296 0
"orent" 0.0169692855930765 0.0372058413170868
"paradis" 0.0509078567792296 0
"partout" 0.0424232139826913 0.0093014603292717
"pauvre" 0.0169692855930765 0.0372058413170868
"plaine" 0.0509078567792296 0
"plaire" 0.0254539283896148 0.0279043809878151
"prend" 0.0254539283896148 0.0279043809878151
"putain" 0 0.0558087619756302
"reste" 0.0339385711861531 0.0186029206585434
"ribauds" 0 0.0558087619756302
"roman" 0.0509078567792296 0
"sache" 0.0169692855930765 0.0372058413170868
"sept" 0.0339385711861531 0.0186029206585434
"séust" 0.0339385711861531 0.0186029206585434
"soie" 0.0424232139826913 0.0093014603292717
"sot" 0.0339385711861531 0.0186029206585434
"suis" 0.0169692855930765 0.0372058413170868
"tête" 0.0169692855930765 0.0372058413170868
"tiengne" 0.0169692855930765 0.0372058413170868
"tote" 0.0509078567792296 0
"traire" 0.0339385711861531 0.0186029206585434
"vais" 0.0339385711861531 0.0186029206585434
"vielle" 0.00848464279653827 0.0465073016463585
"vilenie" 0.0339385711861531 0.0186029206585434
"vingt" 0.0339385711861531 0.0186029206585434
"vodroit" 0 0.0558087619756302
"vu" 0.0254539283896148 0.0279043809878151
"aille" 0 0.0465073016463585
"air" 0.0254539283896148 0.0186029206585434
"alai" 0.0339385711861531 0.0093014603292717
"aller" 0.0169692855930765 0.0279043809878151
"arbres" 0.0424232139826913 0
"autour" 0.0339385711861531 0.0093014603292717
"avez" 0.0254539283896148 0.0186029206585434
"biau" 0.0424232139826913 0
"blanc" 0.0254539283896148 0.0186029206585434
"bonnes" 0.0169692855930765 0.0279043809878151
"chans" 0.0339385711861531 0.0093014603292717
"chat" 0 0.0465073016463585
"chiens" 0.0169692855930765 0.0279043809878151
"choisir" 0 0.0465073016463585
"clamée" 0.0169692855930765 0.0279043809878151
"coeurs" 0.0254539283896148 0.0186029206585434
"colère" 0.00848464279653827 0.0372058413170868
"commande" 0.0169692855930765 0.0279043809878151
"compagnon" 0.0169692855930765 0.0279043809878151
"compaignie" 0.0254539283896148 0.0186029206585434
"conseil" 0 0.0465073016463585
"couleur" 0.0424232139826913 0
"coveitise" 0.0424232139826913 0
"croie" 0.0254539283896148 0.0186029206585434
"cuide" 0.00848464279653827 0.0372058413170868
"dessus" 0.0254539283896148 0.0186029206585434
"dix" 0.00848464279653827 0.0372058413170868
"donner" 0.0169692855930765 0.0279043809878151
"dur" 0.0254539283896148 0.0186029206585434
"elles" 0.0254539283896148 0.0186029206585434
"enclose" 0.0339385711861531 0.0093014603292717
"esprit" 0.0254539283896148 0.0186029206585434
"estuet" 0.0424232139826913 0
"façon" 0.0424232139826913 0
"faille" 0 0.0465073016463585
"faits" 0 0.0465073016463585
"fasse" 0 0.0465073016463585
"fleur" 0.0424232139826913 0
"forment" 0.0169692855930765 0.0279043809878151
"fox" 0 0.0465073016463585
"franc" 0 0.0465073016463585
"front" 0.0424232139826913 0
"fui" 0.0424232139826913 0
"g" 0.0169692855930765 0.0279043809878151
"grands" 0.0169692855930765 0.0279043809878151
"gros" 0.0339385711861531 0.0093014603292717
"guerre" 0 0.0465073016463585
"incontinent" 0.00848464279653827 0.0372058413170868
"jardin" 0.0424232139826913 0
"joer" 0.0254539283896148 0.0186029206585434
"larrons" 0.0169692855930765 0.0279043809878151
"lire" 0 0.0465073016463585
"lores" 0.0339385711861531 0.0093014603292717
"lorsqu" 0.00848464279653827 0.0372058413170868
"maint" 0.0169692855930765 0.0279043809878151
"maints" 0.0339385711861531 0.0093014603292717
"male" 0.0254539283896148 0.0186029206585434
"mien" 0.0169692855930765 0.0279043809878151
"miex" 0.0254539283896148 0.0186029206585434
"mis" 0.00848464279653827 0.0372058413170868
"monte" 0.0169692855930765 0.0279043809878151
"montrer" 0.00848464279653827 0.0372058413170868
"neuve" 0.0254539283896148 0.0186029206585434
"nez" 0.0424232139826913 0
"nom" 0.0339385711861531 0.0093014603292717
"nouvelle" 0.0169692855930765 0.0279043809878151
"novele" 0.0339385711861531 0.0093014603292717
"oï" 0.0424232139826913 0
"oiselets" 0.0339385711861531 0.0093014603292717
"parole" 0.0339385711861531 0.0093014603292717
"pauvreté" 0.0254539283896148 0.0186029206585434
"peine" 0.0169692855930765 0.0279043809878151
"pendre" 0.0254539283896148 0.0186029206585434
"peu" 0.0254539283896148 0.0186029206585434
"pouvait" 0.0339385711861531 0.0093014603292717
"première" 0.0254539283896148 0.0186029206585434
"quanqu" 0 0.0465073016463585
"riches" 0.0254539283896148 0.0186029206585434
"rivage" 0.0254539283896148 0.0186029206585434
"sage" 0.0254539283896148 0.0186029206585434
"sais" 0.00848464279653827 0.0372058413170868
"santé" 0.0169692855930765 0.0279043809878151
"seignor" 0 0.0465073016463585
"serve" 0 0.0465073016463585
"seus" 0.0169692855930765 0.0279043809878151
"taille" 0.0424232139826913 0
"tenoit" 0.0254539283896148 0.0186029206585434
"teste" 0.0169692855930765 0.0279043809878151
"vert" 0.0424232139826913 0
"vieille" 0.00848464279653827 0.0372058413170868
"vilain" 0.00848464279653827 0.0372058413170868
"vive" 0.00848464279653827 0.0372058413170868
"vois" 0.0254539283896148 0.0186029206585434
"voix" 0.0339385711861531 0.0093014603292717
"vouloir" 0 0.0465073016463585
"ymages" 0.0424232139826913 0
"aillors" 0.0254539283896148 0.0093014603292717
"aimée" 0.00848464279653827 0.0279043809878151
"amée" 0.00848464279653827 0.0279043809878151
"amer" 0.00848464279653827 0.0279043809878151
"assaut" 0.00848464279653827 0.0279043809878151
"atornée" 0.0339385711861531 0
"aucune" 0.0169692855930765 0.0186029206585434
"auques" 0.0339385711861531 0
"aurés" 0 0.0372058413170868
"baisier" 0.0169692855930765 0.0186029206585434
"blâmer" 0.00848464279653827 0.0279043809878151
"bonheur" 0.0254539283896148 0.0093014603292717
"cache" 0.00848464279653827 0.0279043809878151
"ceinture" 0.00848464279653827 0.0279043809878151
"celer" 0 0.0372058413170868
"celle" 0.0254539283896148 0.0093014603292717
"ceux" 0.00848464279653827 0.0279043809878151
"chair" 0.0169692855930765 0.0186029206585434
"chantoient" 0.0254539283896148 0.0093014603292717
"chapelet" 0.0339385711861531 0
"char" 0.0169692855930765 0.0186029206585434
"chercher" 0.0169692855930765 0.0186029206585434
"cheveus" 0.0169692855930765 0.0186029206585434
"claire" 0.0339385711861531 0
"clere" 0.0339385711861531 0
"cointes" 0.0339385711861531 0
"compains" 0 0.0372058413170868
"contredit" 0 0.0372058413170868
"convient" 0.0169692855930765 0.0186029206585434
"couche" 0 0.0372058413170868
"court" 0.0169692855930765 0.0186029206585434
"créature" 0.0339385711861531 0
"croire" 0.0254539283896148 0.0093014603292717
"cure" 0 0.0372058413170868
"deffendre" 0 0.0372058413170868
"déjà" 0.0169692855930765 0.0186029206585434
"delez" 0.0339385711861531 0
"depuis" 0.0169692855930765 0.0186029206585434
"destre" 0.0254539283896148 0.0093014603292717
"digne" 0.0169692855930765 0.0186029206585434
"divers" 0.0169692855930765 0.0186029206585434
"donc" 0.00848464279653827 0.0279043809878151
"dort" 0 0.0372058413170868
"droite" 0.0254539283896148 0.0093014603292717
"eau" 0.0339385711861531 0
"enfer" 0.0169692855930765 0.0186029206585434
"ensuite" 0.0254539283896148 0.0093014603292717
"entour" 0.0169692855930765 0.0186029206585434
"estoie" 0.0339385711861531 0
"estroit" 0.0169692855930765 0.0186029206585434
"étais" 0.0254539283896148 0.0093014603292717
"été" 0.0254539283896148 0.0093014603292717
"façons" 0.0339385711861531 0
"fais" 0.0254539283896148 0.0093014603292717
"faut" 0.00848464279653827 0.0279043809878151
"féist" 0.0254539283896148 0.0093014603292717
"félonie" 0.0339385711861531 0
"ferme" 0.0169692855930765 0.0186029206585434
"fete" 0.0339385711861531 0
"figure" 0.0254539283896148 0.0093014603292717
"flamme" 0 0.0372058413170868
"fleurs" 0.0254539283896148 0.0093014603292717
"flors" 0.0254539283896148 0.0093014603292717
"foule" 0 0.0372058413170868
"frais" 0.0339385711861531 0
"froidure" 0.0339385711861531 0
"gans" 0.0339385711861531 0
"garantir" 0 0.0372058413170868
"gracieux" 0.0339385711861531 0
"guère" 0.0169692855930765 0.0186029206585434
"haute" 0.0254539283896148 0.0093014603292717
"hercules" 0 0.0372058413170868
"icele" 0.0339385711861531 0
"iluec" 0.0339385711861531 0
"images" 0.0339385711861531 0
"jadis" 0.0339385711861531 0
"jason" 0 0.0372058413170868
"jouer" 0.0254539283896148 0.0093014603292717
"jura" 0 0.0372058413170868
"karoles" 0 0.0372058413170868
"laide" 0.0169692855930765 0.0186029206585434
"liesse" 0.0339385711861531 0
"lit" 0.0339385711861531 0
"livre" 0.00848464279653827 0.0279043809878151
"long" 0.0169692855930765 0.0186029206585434
"longtemps" 0.00848464279653827 0.0279043809878151
"maladie" 0 0.0372058413170868
"malement" 0 0.0372058413170868
"malheur" 0.00848464279653827 0.0279043809878151
