Link: https://www.facebook.com/DonaldTrump/?epa=SEARCH_BOX,,,,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
Donald J. Trump,24463235,Thu Oct 10 2019 20:57:28 GMT+0000,236511,Facebook,https://www.facebook.com/DonaldTrump/posts/10163285713945725
Donald J. Trump,24472087,Fri Oct 11 2019 00:46:42 GMT+0000,220847,Facebook,https://www.facebook.com/DonaldTrump/posts/444328779550413
Donald J. Trump,24472087,Fri Oct 11 2019 02:51:50 GMT+0000,183311,Facebook,https://www.facebook.com/DonaldTrump/posts/10163287626775725
Donald J. Trump,24495540,Wed Oct 16 2019 22:27:42 GMT+0000,174197,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321750750725
Donald J. Trump,24495540,Wed Oct 16 2019 22:32:35 GMT+0000,140214,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321787980725
Donald J. Trump,24495540,Wed Oct 16 2019 22:51:24 GMT+0000,139325,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321884225725
Donald J. Trump,24472087,Fri Oct 11 2019 18:27:29 GMT+0000,110654,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290493125725
Donald J. Trump,24459393,Wed Oct 09 2019 22:56:00 GMT+0000,108989,Facebook,https://www.facebook.com/DonaldTrump/posts/10163280588505725
Donald J. Trump,24483318,Sun Oct 13 2019 18:02:19 GMT+0000,102856,Facebook,https://www.facebook.com/DonaldTrump/posts/10163301849840725
Donald J. Trump,24463235,Thu Oct 10 2019 01:40:05 GMT+0000,101579,Facebook,https://www.facebook.com/DonaldTrump/posts/10163281575305725
Donald J. Trump,24463235,Thu Oct 10 2019 12:29:54 GMT+0000,90063,Facebook,https://www.facebook.com/DonaldTrump/posts/10163283274935725
Donald J. Trump,24492299,Tue Oct 15 2019 20:46:01 GMT+0000,82131,Facebook,https://www.facebook.com/DonaldTrump/posts/10163313906815725
Donald J. Trump,24456603,Tue Oct 08 2019 19:06:05 GMT+0000,80872,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274181185725
Donald J. Trump,24488432,Mon Oct 14 2019 19:58:45 GMT+0000,78729,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308296525725
Donald J. Trump,24488432,Mon Oct 14 2019 19:14:00 GMT+0000,75664,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308003350725
Donald J. Trump,24463235,Thu Oct 10 2019 23:45:00 GMT+0000,71979,Facebook,https://www.facebook.com/DonaldTrump/posts/10163285205100725
Donald J. Trump,24459393,Wed Oct 09 2019 20:38:39 GMT+0000,55946,Facebook,https://www.facebook.com/DonaldTrump/posts/10163280130750725
Donald J. Trump,24495540,Wed Oct 16 2019 21:29:38 GMT+0000,54343,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321498000725
Donald J. Trump,24472087,Fri Oct 11 2019 19:56:00 GMT+0000,52058,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290511225725
Donald J. Trump,24456603,Tue Oct 08 2019 20:52:12 GMT+0000,50209,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274691090725
Donald J. Trump,24492299,Tue Oct 15 2019 20:10:00 GMT+0000,48748,Facebook,https://www.facebook.com/DonaldTrump/posts/10163313137685725
Donald J. Trump,24456603,Tue Oct 08 2019 02:18:56 GMT+0000,48604,Facebook,https://www.facebook.com/DonaldTrump/posts/10163270852585725
Donald J. Trump,24456603,Tue Oct 08 2019 21:21:42 GMT+0000,47578,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274834120725
Donald J. Trump,24472087,Fri Oct 11 2019 22:22:00 GMT+0000,45068,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290524380725
Donald J. Trump,24479306,Sat Oct 12 2019 20:16:52 GMT+0000,44305,Facebook,https://www.facebook.com/DonaldTrump/posts/10163296607060725
Donald J. Trump,24495540,Wed Oct 16 2019 16:04:35 GMT+0000,43745,Facebook,https://www.facebook.com/DonaldTrump/posts/10163318115745725
Donald J. Trump,24488432,Mon Oct 14 2019 15:28:18 GMT+0000,41989,Facebook,https://www.facebook.com/DonaldTrump/posts/10163306861065725
Donald J. Trump,24495540,Wed Oct 16 2019 21:16:00 GMT+0000,37938,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321100790725
Donald J. Trump,24472087,Fri Oct 11 2019 02:24:14 GMT+0000,37702,Facebook,https://www.facebook.com/DonaldTrump/posts/10163287472335725
Donald J. Trump,24459393,Wed Oct 09 2019 18:26:06 GMT+0000,37554,Facebook,https://www.facebook.com/DonaldTrump/posts/10163279482625725
Donald J. Trump,24472087,Fri Oct 11 2019 14:50:38 GMT+0000,35025,Facebook,https://www.facebook.com/DonaldTrump/posts/10163289607745725
Donald J. Trump,24479306,Sat Oct 12 2019 04:03:36 GMT+0000,34553,Facebook,https://www.facebook.com/DonaldTrump/posts/10163293137140725
Donald J. Trump,24488432,Mon Oct 14 2019 19:40:00 GMT+0000,34546,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308113870725
